slug,title,status,regime_key,priority,article_type,source_focus,notes
law-of-sea-maritime-zones-navigation-ocean-governance,The Law of the Sea: Maritime Zones Navigation and Ocean Governance,planned,law_of_sea,1,substantive,UNCLOS; ITLOS; DOALOS,Maritime zones and legal geography.
international-environmental-law-planetary-risk,International Environmental Law and the Governance of Planetary Risk,planned,environment,1,substantive,UNEP; ICJ; climate and biodiversity treaties,Environmental law foundation.
climate-change-law-treaties-decarbonization,Climate Change Law Treaties and the Legal Politics of Decarbonization,planned,environment,1,substantive,UNFCCC; Paris Agreement; COP decisions,Climate law and unequal burden sharing.
international-trade-law-global-commerce,International Trade Law and the Legal Order of Global Commerce,planned,economic,2,substantive,WTO agreements; dispute settlement materials,Trade law and economic order.
investment-treaties-isds-regulatory-sovereignty,Investment Treaties Investor-State Dispute Settlement and Regulatory Sovereignty,planned,economic,2,substantive,BITs; ICSID materials; arbitral awards,Investment law and regulatory space.
cyber-operations-digital-sovereignty-international-law,Cyber Operations Digital Sovereignty and International Law in the Information Age,planned,emerging,3,emerging,UN cyber processes; Tallinn Manual as secondary source; state practice,Cyber and sovereignty.
empire-decolonization-making-international-law,"Empire, Decolonization, and the Making of International Law",planned,critical,1,critical,Empire; colonial administration; racial hierarchy; mandates; trusteeship; decolonization; TWAIL and Global South critiques,Renamed from Postcolonial and Third World Approaches to International Law.
gender-violence-public-private-divide-international-law,"Gender, Violence, and the Public/Private Divide in International Law",planned,critical,2,critical,Gendered violence; feminist legal theory; human rights; IHL; economic dependency; public/private divide,Renamed from Feminist Approaches to International Law.
future-international-law-fragmentation-multipolarity-planetary-crisis,The Future of International Law in an Age of Fragmentation Multipolarity and Planetary Crisis,planned,critical,2,synthesis,Institutional practice; critical theory; environmental law; security law,Long-range synthesis article.
human-rights-international-law,Human Rights in International Law,published,human_rights,1,substantive,UDHR; ICCPR; ICESCR; OHCHR materials,Human rights foundation.
law-of-the-sea-unclos,Law of the Sea UNCLOS,published,law_of_sea,1,substantive,UNCLOS; ITLOS; DOALOS materials,Ocean governance foundation.
